Environment,Algorithm,Seed,Current Step,Mean Reward,Standard Deviation Reward,Success Rate,Training Time,Mean Episode Length
CartPole-v1,ARS,7,95000,500.0,0.0,100.0,17.906019926071167,500.0
CartPole-v1,ARS,7,100000,500.0,0.0,100.0,19.069838523864746,500.0
CartPole-v1,ARS,42,5000,15.2,2.481934729198171,0.0,0.9973938465118408,15.2
CartPole-v1,ARS,42,10000,68.6,22.03270296627266,0.0,1.9275822639465332,68.6
CartPole-v1,ARS,42,15000,79.4,12.273548794053006,0.0,2.826514959335327,79.4
CartPole-v1,ARS,42,20000,107.6,24.499795917517353,0.0,3.7539029121398926,107.6
CartPole-v1,ARS,42,25000,80.2,19.671298889498885,0.0,4.621236085891724,80.2
CartPole-v1,ARS,42,30000,133.8,74.42418961601128,0.0,5.599894046783447,133.8
CartPole-v1,ARS,42,35000,103.0,21.863211109075447,0.0,6.453527927398682,103.0
CartPole-v1,ARS,42,40000,100.0,59.85649505275096,0.0,7.3068060874938965,100.0
CartPole-v1,ARS,42,45000,173.0,48.14561246884289,0.0,8.165664911270142,173.0
CartPole-v1,ARS,42,50000,231.0,140.9538931707812,0.0,9.092714548110962,231.0
CartPole-v1,ARS,42,55000,123.6,37.04375790872195,0.0,9.92524766921997,123.6
CartPole-v1,ARS,42,60000,365.6,127.99468738975068,0.0,10.812031030654907,365.6
CartPole-v1,ARS,42,65000,283.4,49.52009693043826,0.0,11.75393271446228,283.4
CartPole-v1,ARS,42,70000,500.0,0.0,100.0,12.572795629501343,500.0
CartPole-v1,ARS,42,75000,500.0,0.0,100.0,13.631433963775635,500.0
CartPole-v1,ARS,42,80000,500.0,0.0,100.0,14.492357015609741,500.0
CartPole-v1,ARS,42,85000,500.0,0.0,100.0,15.279630899429321,500.0
CartPole-v1,ARS,42,90000,500.0,0.0,100.0,16.312278270721436,500.0
CartPole-v1,ARS,42,95000,500.0,0.0,100.0,17.28305435180664,500.0
CartPole-v1,ARS,42,100000,500.0,0.0,100.0,18.138273239135742,500.0
CartPole-v1,ARS,1337,5000,17.6,2.4166091947189146,0.0,0.9730584621429443,17.6
CartPole-v1,ARS,1337,10000,19.8,3.54400902933387,0.0,1.956129789352417,19.8
CartPole-v1,ARS,1337,15000,20.4,2.244994432064365,0.0,2.8780548572540283,20.4
CartPole-v1,ARS,1337,20000,36.8,7.782030583337488,0.0,3.7498114109039307,36.8
CartPole-v1,ARS,1337,25000,45.6,6.6513156593263565,0.0,4.599540710449219,45.6
CartPole-v1,ARS,1337,30000,51.8,7.332121111929345,0.0,5.508344888687134,51.8
CartPole-v1,ARS,1337,35000,143.8,4.955804677345546,0.0,6.490355491638184,143.8
CartPole-v1,ARS,1337,40000,181.2,8.818163074019441,0.0,7.5051891803741455,181.2
CartPole-v1,ARS,1337,45000,495.2,8.634813257969162,60.0,8.416722297668457,495.2
CartPole-v1,ARS,1337,50000,223.4,22.659214461229674,0.0,9.245423555374146,223.4
CartPole-v1,ARS,1337,55000,500.0,0.0,100.0,10.432231426239014,500.0
CartPole-v1,ARS,1337,60000,500.0,0.0,100.0,11.53208613395691,500.0
CartPole-v1,ARS,1337,65000,500.0,0.0,100.0,12.54421091079712,500.0
CartPole-v1,ARS,1337,70000,500.0,0.0,100.0,13.49028468132019,500.0
CartPole-v1,ARS,1337,75000,500.0,0.0,100.0,14.481078863143921,500.0
CartPole-v1,ARS,1337,80000,500.0,0.0,100.0,15.52450966835022,500.0
CartPole-v1,ARS,1337,85000,500.0,0.0,100.0,16.938299417495728,500.0
CartPole-v1,ARS,1337,90000,500.0,0.0,100.0,17.948527574539185,500.0
CartPole-v1,ARS,1337,95000,500.0,0.0,100.0,19.288541793823242,500.0
